1,001,3363,1808,432,873
59,002,317,228,262,46
215,003,1239,1648,276,461
43,004,1710,589,697,1000
36,005,86,1233,130,54
134,006,886,794,131,1065
216,007,1088,433,26,1687
3,008,3730,816,49,4540
48,009,1207,4322,1714,527
8,010,271,2396,164,69
188,011,229,1431,2724,155
45,012,3639,3000,1555,1031
74,013,1136,604,295,304
37,014,911,3300,364,290
222,015,1017,369,64,649
95,016,854,949,294,415
5,017,2427,5325,787,646
94,018,580,1349,229,254
363,019,259,339,39,75
287,020,373,355,380,313
26,021,1168,3803,1262,388
44,022,1046,1449,317,306
283,023,838,640,26,1097
60,024,1602,5255,1334,776
12,025,8424,1496,557,7619
15,026,392,2187,123,75
518,027,1543,695,91,770
58,028,737,1453,145,355
150,029,474,383,40,144
454,030,1158,585,209,888
428,031,441,135,98,129
16,032,634,590,334,103
